S.D.,Counts,seed,tournament_type
0.5,292,4,hetero_dr_sd_max
0.6,266,4,hetero_dr_sd_max
0.7,274,4,hetero_dr_sd_max
0.8,263,4,hetero_dr_sd_max
0.9,252,4,hetero_dr_sd_max
1.0,224,4,hetero_dr_sd_max
1.1,210,4,hetero_dr_sd_max
1.2,191,4,hetero_dr_sd_max
1.3,147,4,hetero_dr_sd_max
1.4,117,4,hetero_dr_sd_max
1.5,101,4,hetero_dr_sd_max
1.6,74,4,hetero_dr_sd_max
1.7,66,4,hetero_dr_sd_max
1.8,61,4,hetero_dr_sd_max
1.9,44,4,hetero_dr_sd_max
2.0,39,4,hetero_dr_sd_max
2.1,28,4,hetero_dr_sd_max
2.2,19,4,hetero_dr_sd_max
2.3,15,4,hetero_dr_sd_max
2.4,15,4,hetero_dr_sd_max
2.5,9,4,hetero_dr_sd_max
2.6,8,4,hetero_dr_sd_max
2.7,3,4,hetero_dr_sd_max
2.8,4,4,hetero_dr_sd_max
2.9,3,4,hetero_dr_sd_max
3.0,2,4,hetero_dr_sd_max
