S.D.,Counts,seed,tournament_type
0.5,278,32,norm_dr_sd_max
0.6,268,32,norm_dr_sd_max
0.7,243,32,norm_dr_sd_max
0.8,234,32,norm_dr_sd_max
0.9,207,32,norm_dr_sd_max
1,191,32,norm_dr_sd_max
1.1,178,32,norm_dr_sd_max
1.2,140,32,norm_dr_sd_max
1.3,130,32,norm_dr_sd_max
1.4,106,32,norm_dr_sd_max
1.5,99,32,norm_dr_sd_max
1.6,116,32,norm_dr_sd_max
1.7,91,32,norm_dr_sd_max
1.8,81,32,norm_dr_sd_max
1.9,58,32,norm_dr_sd_max
2,37,32,norm_dr_sd_max
2.1,24,32,norm_dr_sd_max
2.2,18,32,norm_dr_sd_max
2.3,7,32,norm_dr_sd_max
2.4,4,32,norm_dr_sd_max
2.5,4,32,norm_dr_sd_max
2.6,3,32,norm_dr_sd_max
2.7,0,32,norm_dr_sd_max
2.8,0,32,norm_dr_sd_max
2.9,0,32,norm_dr_sd_max
3,0,32,norm_dr_sd_max
